"","...1","TEAM_NAME","TEAM_ID","GAME_ID","GAME_DATE","MATCHUP","game_number","version","OPP_NAME","matchup_start","round","matchup_full","TEAM_COLOR","OPP_COLOR","season"
"1",1,"Atlanta Hawks",1610612737,"0042200111",2023-04-15,"ATL vs. BOS","Game 1","Thu Apr 24 23:18:43","Boston Celtics",2023-04-15,1,"Round 1: ATL vs. BOS, Game 1","#E03A3E","#007A33","2022-23"
"2",2,"Atlanta Hawks",1610612737,"0042200112",2023-04-18,"ATL vs. BOS","Game 2","Thu Apr 24 23:18:43","Boston Celtics",2023-04-15,1,"Round 1: ATL vs. BOS, Game 2","#E03A3E","#007A33","2022-23"
"3",3,"Atlanta Hawks",1610612737,"0042200113",2023-04-21,"ATL vs. BOS","Game 3","Thu Apr 24 23:18:43","Boston Celtics",2023-04-15,1,"Round 1: ATL vs. BOS, Game 3","#E03A3E","#007A33","2022-23"
"4",4,"Atlanta Hawks",1610612737,"0042200114",2023-04-23,"ATL vs. BOS","Game 4","Thu Apr 24 23:18:43","Boston Celtics",2023-04-15,1,"Round 1: ATL vs. BOS, Game 4","#E03A3E","#007A33","2022-23"
"5",5,"Atlanta Hawks",1610612737,"0042200115",2023-04-25,"ATL vs. BOS","Game 5","Thu Apr 24 23:18:43","Boston Celtics",2023-04-15,1,"Round 1: ATL vs. BOS, Game 5","#E03A3E","#007A33","2022-23"
"6",6,"Atlanta Hawks",1610612737,"0042200116",2023-04-27,"ATL vs. BOS","Game 6","Thu Apr 24 23:18:43","Boston Celtics",2023-04-15,1,"Round 1: ATL vs. BOS, Game 6","#E03A3E","#007A33","2022-23"
"7",7,"Boston Celtics",1610612738,"0042200111",2023-04-15,"BOS vs. ATL","Game 1","Thu Apr 24 23:18:43","Atlanta Hawks",2023-04-15,1,"Round 1: BOS vs. ATL, Game 1","#007A33","#E03A3E","2022-23"
"8",8,"Boston Celtics",1610612738,"0042200112",2023-04-18,"BOS vs. ATL","Game 2","Thu Apr 24 23:18:43","Atlanta Hawks",2023-04-15,1,"Round 1: BOS vs. ATL, Game 2","#007A33","#E03A3E","2022-23"
"9",9,"Boston Celtics",1610612738,"0042200113",2023-04-21,"BOS vs. ATL","Game 3","Thu Apr 24 23:18:43","Atlanta Hawks",2023-04-15,1,"Round 1: BOS vs. ATL, Game 3","#007A33","#E03A3E","2022-23"
"10",10,"Boston Celtics",1610612738,"0042200114",2023-04-23,"BOS vs. ATL","Game 4","Thu Apr 24 23:18:43","Atlanta Hawks",2023-04-15,1,"Round 1: BOS vs. ATL, Game 4","#007A33","#E03A3E","2022-23"
