TEAM_NAME,TEAM_ABBREVIATION,TEAM_ID,Primary Color,Secondary Color,Team_Logo,vegasWin
Atlanta Hawks,ATL,1610612737,#E03A3E,#26282A,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png,47.5
Boston Celtics,BOS,1610612738,#007A33,#BA9653,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bos.png,46.5
Brooklyn Nets,BKN,1610612751,#000000,#FFFFFF,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bkn.png,55.5
Charlotte Hornets,CHA,1610612766,#1D1160,#00788C,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png,38.5
Chicago Bulls,CHI,1610612741,#CE1141,#000000,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/chi.png,43.5
Cleveland Cavaliers,CLE,1610612739,#860038,#000000,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png,26.5
Dallas Mavericks,DAL,1610612742,#00538C,#B8C4CA,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png,48.5
Denver Nuggets,DEN,1610612743,#0E2240,#FEC524,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/den.png,47.5
Detroit Pistons,DET,1610612765,#C8102E,#1D42BA,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/det.png,25.5
Golden State Warriors,GSW,1610612744,#1D428A,#FFC72C,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gs.png,47.5
Houston Rockets,HOU,1610612745,#CE1141,#000000,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png,25.5
Indiana Pacers,IND,1610612754,#002D62,#FDBB30,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png,42.5
LA Clippers,LAC,1610612746,#5D76A9,#12173F,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png,45.5
Los Angeles Lakers,LAL,1610612747,#552583,#FDB927,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png,52.5
Memphis Grizzlies,MEM,1610612763,#5D76A9,#12173F,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png,41.5
Miami Heat,MIA,1610612748,#98002E,#F9A01B,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mia.png,48.5
Milwaukee Bucks,MIL,1610612749,#00471B,#EEE1C6,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png,54.5
Minnesota Timberwolves,MIN,1610612750,#236192,#9EA2A2,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png,35.5
New Orleans Pelicans,NOP,1610612740,#0C2340,#C8102E,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png,38.5
New York Knicks,NYK,1610612752,#006BB6,#F58426,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/nyk.png,41.5
Oklahoma City Thunder,OKC,1610612760,#007AC1,#EF3B24,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/okc.png,22.5
Orlando Magic,ORL,1610612753,#0077C0,#C4CED4,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png,22.5
Philadelphia 76ers,PHI,1610612755,#006BB6,#ED174C,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phi.png,50.5
Phoenix Suns,PHX,1610612756,#1D1160,#E56020,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phx.png,51.5
Portland Trail Blazers,POR,1610612757,#E03A3E,#000000,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png,44.5
Sacramento Kings,SAC,1610612758,#5A2D81,#63727A,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png,26.5
San Antonio Spurs,SAS,1610612759,#C4CED4,#000000,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sas.png,29.5
Toronto Raptors,TOR,1610612761,#CE1141,#000000,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png,36.5
Utah Jazz,UTA,1610612762,#002B5C,#00471B,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png,53.5
Washington Wizards,WAS,1610612764,#002B5C,#E31837,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/was.png,34.5
